,开仓日期,ccode,pcode,delta,gamma,k,iv,term,r_volitility,,,yield,,盈亏比,0.92,固定delta区间对冲,,胜率,77.8
0,2018/1/19,10001152.XSHG,10001154.XSHG,0.169820555,-10.70049917,3.1,0.21057119,5,0.099200407,0.111370783,100929.4,0.009294,-0.048155,平均收益,0.006475472,0.009294,-4.6645,盈亏比,0.809936744
1,2018/2/8,10001145.XSHG,10001150.XSHG,-0.006703155,-5.798645883,2.95,0.245706404,20,0.346441496,-0.100735092,99984.8,-0.000152,-0.025906,收益标准差,0.015643607,-0.001458,-2.612,平均收益,0.564225
2,2018/2/9,10001142.XSHG,10001147.XSHG,0.074140152,-6.211210821,2.8,0.346653061,19,0.189556836,0.157096225,104305.8,0.043058,-0.014413,最小收益,-0.0482,0.041659,-1.3333,收益标准差,1.51093151
3,2018/2/13,10001143.XSHG,10001148.XSHG,0.035506529,-6.903042981,2.85,0.247572148,15,0.206930041,0.040642107,101804.6,0.018046,-0.0076,25分位数收益,0,0.01774,-0.9062,最小收益,-4.66%
4,2018/2/22,10001144.XSHG,10001149.XSHG,0.291485845,-9.919854208,2.9,0.240916897,6,0.209534918,0.031381979,100589,0.00589,-0.0073,50分位数收益,0.70%,0.00589,-0.76,25分位数收益,0.01%
5,2018/3/21,10001107.XSHG,10001112.XSHG,-0.125159962,-9.865626699,2.9,0.229085197,7,0.193122402,0.035962795,99240,-0.0076,-0.003326,75分位数收益,1.40%,-0.0076,-0.5284,50分位数收益,0.38%
6,2018/3/23,10001105.XSHG,10001110.XSHG,-0.201413069,-11.86399557,2.8,0.36334939,5,0.21183755,0.15151184,101425,0.01425,-0.000152,最大收益,4.30%,0.01425,-0.1458,75分位数收益,0.96%
7,2018/3/30,10001248.XSHG,10001257.XSHG,0.136080577,-5.429272627,2.7,0.253120757,26,0.210616252,0.042504505,101615.8,0.016158,-4.30E-05,,,0.014483,-0.1204,最大收益,4.17%
8,2018/4/10,10001249.XSHG,10001258.XSHG,0.224385632,-6.809344174,2.75,0.244965648,15,0.225107785,0.019857863,100413.7,0.004137,6.10E-05,,,0.003642,0.0061,,
9,2018/4/16,10001247.XSHG,10001256.XSHG,0.085937052,-9.513534287,2.65,0.285130995,9,0.224646929,0.060484066,101277.1,0.012771,0.001538,,,0.013989,0.0181,,
10,2018/5/2,10001286.XSHG,10001295.XSHG,0.033238176,-6.280293785,2.65,0.259014221,21,0.147413323,0.111600898,102515,0.02515,0.002287,,,0.026432,0.1538,,
11,2018/5/8,10001287.XSHG,10001296.XSHG,0.150212135,-7.122170031,2.7,0.246171676,15,0.135634749,0.110536927,102263.9,0.022639,0.002546,,,0.022319,0.2546,,
12,2018/5/14,10001288.XSHG,10001297.XSHG,-0.008021209,-9.254883322,2.75,0.222297204,9,0.15866125,0.063635954,100998.3,0.009983,0.002584,,,0.008878,0.2671,,
13,2018/6/19,10001239.XSHG,10001240.XSHG,0.159044669,-10.11099757,2.6,0.268812329,8,0.136655291,0.132157038,101027.2,0.010272,0.002671,,,0.011778,0.3342,,
14,2018/7/2,10001355.XSHG,10001356.XSHG,0.074219096,-6.587721478,2.4,0.271637667,23,0.20770639,0.063931277,101359.4,0.013594,0.003342,,,0.013465,0.3642,,
15,2018/7/11,10001335.XSHG,10001344.XSHG,0.080752159,-8.258212413,2.45,0.275630125,14,0.195562194,0.080067931,101050.6,0.010506,0.004137,,,0.00846,0.3804,,
16,2018/7/12,10001336.XSHG,10001345.XSHG,0.087983434,-8.387371788,2.5,0.248450575,13,0.189954586,0.058495989,100707.8,0.007078,0.00589,,,0.003804,0.3887,,
17,2018/7/20,10001337.XSHG,10001346.XSHG,-0.105143278,-13.30285796,2.55,0.223748728,5,0.050297597,0.173451131,100334.2,0.003342,0.007078,,,0.003342,0.589,,
18,2018/8/2,10001390.XSHG,10001399.XSHG,-0.052421773,-6.846225764,2.5,0.250634031,20,0.258074119,-0.007440088,99270,-0.0073,0.009058,,,-0.009062,0.846,,
19,2018/8/3,10001389.XSHG,10001398.XSHG,0.105104357,-7.054797296,2.45,0.25978575,19,0.263605933,-0.003820183,99667.4,-0.003326,0.009294,,,-0.005284,0.847,,
20,2018/8/7,10001391.XSHG,10001400.XSHG,-0.105315492,-7.710543908,2.55,0.263065118,15,0.244175635,0.018889483,100258.4,0.002584,0.009983,,,-0.001204,0.8878,,
21,2018/8/17,10001388.XSHG,10001397.XSHG,0.30362802,-13.05239858,2.4,0.258787972,5,0.002683123,0.256104849,100153.8,0.001538,0.010272,,,0.001538,0.9,,
